SubscriptionName,SubscriptionId,ResourceGroup,VaultName,Location,DefenderForKeyVaultOn,LoggingEnabled,VaultRecoverable,SoftDeleteEnabled,PurgeProtectionEnabled,RbacEnabled,UsesPrivateEndpoints,PrivateEndpointConnectionCount,AllKeysHaveExpiry,KeysMissingExpiry,AnyKeyHasRotationPolicy,KeysWithoutRotationPolicy,AllSecretsHaveExpiry,SecretsMissingExpiry,HasSecretsStored
ACS-MAP-INTERNAL,5b836f33-fdff-488a-9b01-cde97cd10a78,ACS-PROD-INT-EASTUS-MGMT-RG,acs-mgmtkv-prod,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
ACS-MAP-INTERNAL,5b836f33-fdff-488a-9b01-cde97cd10a78,ACS-DEVTEST-INT-EASTUS-MGMT-RG,acs-mgmtkv-devtest,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
ACS-MAP-INTERNAL,5b836f33-fdff-488a-9b01-cde97cd10a78,ACS-PROD-INT-EASTUS-MGMT-RG,ACSPRODEASTUSAVDKV,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
ACS-MAP-INTERNAL,5b836f33-fdff-488a-9b01-cde97cd10a78,ACS-DEVTEST-INT-EASTUS-MGMT-RG,ACSDEVTESTEASTUSAVDKV,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
ACS-MAP-INTERNAL,5b836f33-fdff-488a-9b01-cde97cd10a78,ACS-DEVTEST-INT-WESTUS3-MGMT-RG,ACSDEVTESTWESTUS3AVDKV,westus3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
ACS-MAP-INTERNAL,5b836f33-fdff-488a-9b01-cde97cd10a78,ACS-PROD-INT-WESTUS3-MGMT-RG,ACSPRODWESTUS3AVDKV,westus3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CORE-MAP-INTERNAL,50782432-7e91-4f84-8efe-6d37cb42cfc8,CORE-PROD-INT-EASTUS-NETWORK-ER-RG,VA-ASHBURN-ERD-0-KV,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CORE-MAP-INTERNAL,50782432-7e91-4f84-8efe-6d37cb42cfc8,ECSO-CORE-MAP-EASTUS-MGMT-RG,ecso-mgmtkv-core,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CORE-MAP-INTERNAL,50782432-7e91-4f84-8efe-6d37cb42cfc8,DS-CORE-INT-EASTUS-RG,OnCallKeyVault,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CORE-MAP-INTERNAL,50782432-7e91-4f84-8efe-6d37cb42cfc8,CORE-PROD-INT-WESTUS2-NETWORK-ER-RG,VA-CHICAGO-ERD-0-KV,westus2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CORE-MAP-INTERNAL,50782432-7e91-4f84-8efe-6d37cb42cfc8,CORE-PROD-INT-WESTUS3-NETWORK-ER-RG,VA-SANJOSE-ERD-0-KV,westus3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CORE-MAP-INTERNAL,50782432-7e91-4f84-8efe-6d37cb42cfc8,CORE-PROD-INT-WESTUS3-NETWORK-ER-RG,VA-DALLAS-ERD-0-KV,westus3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CVA-Public-External,c1b10396-a8aa-4e38-a5df-442ffbdaaf5a,CVA-DEVTEST-EXT-EASTUS2-CHATBOT-RG,va-chatbot-dev-key-vault,eastus2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CVA-Public-External,c1b10396-a8aa-4e38-a5df-442ffbdaaf5a,CVA-DEVTEST-EXT-EASTUS2-CHATBOT-RG,vatryopenaicmkkv,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CVA-Public-External,c1b10396-a8aa-4e38-a5df-442ffbdaaf5a,CVA-PREPROD-EXT-WESTUS2-CHATBOT-RG,stagingvagovanalyticskv,westus2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CVA-Public-External,c1b10396-a8aa-4e38-a5df-442ffbdaaf5a,CVA-PROD-EXT-WESTUS2-CHATBOT-RG,prodvagovanalyticskv,westus2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CWZ-MAP-INTERNAL,3b31d7e7-876d-467b-b27e-63a6fbf1db92,CWZ-DEVTEST-INT-EASTUS-CWZ-RG,ctodatahub2347202600,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CWZ-MAP-INTERNAL,3b31d7e7-876d-467b-b27e-63a6fbf1db92,CWZ-DEVTEST-INT-EASTUS-CWZ-RG,cwz-test-kv,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
CWZ-MAP-INTERNAL,3b31d7e7-876d-467b-b27e-63a6fbf1db92,CWZ-PROD-INT-EASTUS-MGMT-RG,cwz-mgmtkv-prod,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
DCA-MAP-INTERNAL,c8670f03-8a23-462a-833a-84d44e7fb7dd,DCA-PROD-INT-EASTUS-MGMT-RG,dca-mgmtkv-prod,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
ECI-MAP-INTERNAL,b6fe4928-009e-4124-af49-07fc5f0f6a08,ECI-PROD-INT-EASTUS-MGMT-RG,eci-mgmtkv-prod,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
EVS-PUBLIC-INTERNAL,e9ba51df-5a64-44b8-b9a1-d6174181343d,EVS-PROD-MAP-EASTUS-MGMT-RG,evs-mgmtkv-prod,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
EVS-PUBLIC-INTERNAL,e9ba51df-5a64-44b8-b9a1-d6174181343d,va-TeamsConn-use-static-RG,vause-kcdxsezgpp-KV,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
PTL-MAP-INTERNAL,e0824349-7786-4499-9183-deeda7b73707,PTL-PROD-INT-EASTUS-MGMT-RG,ptl-mgmtkv-prod,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
SCC-PUBLIC-EXTERNAL,566713b8-c502-4f24-b825-b2d3699b3788,SCC-PROD-MAP-EAST-CMGVMSS-RG,VAC20CMGSCCPR5PR6,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
SCC-PUBLIC-EXTERNAL,566713b8-c502-4f24-b825-b2d3699b3788,SCC-PROD-MAP-EAST-CMGVMSS-RG,VAC20CMGSCCPR3PR4,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
SCC-PUBLIC-EXTERNAL,566713b8-c502-4f24-b825-b2d3699b3788,SCC-PROD-MAP-EAST-CMGVMSS-RG,VAC20CMGSCCPR1PR2,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
SCC-PUBLIC-EXTERNAL,566713b8-c502-4f24-b825-b2d3699b3788,SCC-PROD-MAP-EAST-ODS-RG,SCC-EEMR-Keyvault,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
SCC-PUBLIC-EXTERNAL,566713b8-c502-4f24-b825-b2d3699b3788,SCC-DEVTEST-MAP-EAST-CMGVMSS-RG,EEMRPPDCMG,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
SPD2494-MAP-INTERNAL,67793ba1-b36a-4c60-8e10-6324a56b2d86,SPD2494-PROD-INT-EASTUS-MGMT-RG,spd2494-mgmtkv-prod,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
SPD2494-MAP-INTERNAL,67793ba1-b36a-4c60-8e10-6324a56b2d86,SPD2494-DEVTEST-INT-EASTUS-SANDBOX-RG,spd2494-devtest-eus-kv,eastus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,FALSE,,FALSE,,FALSE
